sampling ;sample;spezies;1;2;3;4;5;6;7;8;9;10;Cells;length_squares_400x[µm];squares_area[mm2];chamber_area[mm2];Vol_chamber[ml];Cells in 2.973ml;Cells/ml
02.09.19;P1 #S3;Chaetoceros simplex;19;15;8;10;17;15;13;8;14;16;135;250;0,625;490,874;10;10603;3566
02.09.19;;Dinoflagellates ;;;;;1;1;1;;;1;4;250;0,625;490,874;10;314;106
02.09.19;;Prorcendrum  redfieldii;;1;;1;;;1;1;1;1;6;250;0,625;490,874;10;471;159
02.09.19;;;;;;;;;;;;;;;;;;;
02.09.19;P7 #S3;spezies;1;2;3;4;5;6;7;8;9;10;Cells;length_squares_400x[µm];squares_area[mm2];chamber_area[mm2];Vol_chamber[ml];Cells in 2.973ml;Cells/ml
02.09.19;;Leptocylindros sp.;5;8;5;4;14;10;7;14;18;15;100;250;0,625;490,874;10;7854;2642
02.09.19;;Chaetoceros simplex;;;;;;;;;;1;1;250;0,625;490,874;10;79;26
02.09.19;;Dinoflagellates ;4;;2;2;;;3;2;2;;15;250;0,625;490,874;10;1178;396
02.09.19;;Thalassiosira sp.;;1;;;;;;;;;1;250;0,625;490,874;10;79;26
02.09.19;;;square;;;;;;;;;;;;;;;;
02.09.19;P10 #S3;spezies;1;2;3;4;5;6;7;8;9;10;Cells;length_squares_400x[µm];squares_area[mm2];chamber_area[mm2];Vol_chamber[ml];Cells in 2.973ml;Cells/ml
02.09.19;;Leptocylindros sp.;16;11;8;13;14;9;11;12;14;10;118;250;0,625;490,874;10;9268;3117
02.09.19;;Chaetoceros simplex;;;;1;;;;1;1;;3;250;0,625;490,874;10;236;79
02.09.19;;Dinoflagellates ;;;;;;2;;1;;1;4;250;0,625;490,874;10;314;106
02.09.19;;;square;;;;;;;;;;;;;;;;
02.09.19;P11 #S3;spezies;1;2;3;4;5;6;7;8;9;10;Cells;length_squares_400x[µm];squares_area[mm2];chamber_area[mm2];Vol_chamber[ml];Cells in 2.973ml;Cells/ml
02.09.19;;Leptocylindros sp.;10;11;23;8;12;13;17;15;12;15;136;250;0,625;490,874;10;10681;3593
02.09.19;;Chaetoceros simplex;1;;;;;;;1;;;2;250;0,625;490,874;10;157;53
02.09.19;;Dinoflagellates ;;;;2;1;1;2;3;1;3;13;250;0,625;490,874;10;1021;343
02.09.19;;Thalassiosira sp.;;;;;;;;;1;;1;250;0,625;490,874;10;79;26
02.09.19;;Cylindrotheca sp.;;;;;;1;;;;;1;250;0,625;490,874;10;79;26
02.09.19;;Phaeocystis sp.;2;;;;;;;;;;2;250;0,625;490,874;10;157;53
02.09.19;;;square;;;;;;;;;;;;;;;;
02.09.19;P12 #S3;spezies;1;2;3;4;5;6;7;8;9;10;Cells;length_squares_400x[µm];squares_area[mm2];chamber_area[mm2];Vol_chamber[ml];Cells in 2.973ml;Cells/ml
02.09.19;;Leptocylindros sp.;15;11;16;13;11;16;15;11;12;15;135;250;0,625;490,874;10;10603;3566
02.09.19;;Dinoflagellates ;1;;;;1;2;1;;2;2;9;250;0,625;490,874;10;707;238
02.09.19;;Thalassiosira sp.;;1;1;;;1;;;;;3;250;0,625;490,874;10;236;79
02.09.19;;Teleaulax sp.;;;;1;;1;;;1;;3;250;0,625;490,874;10;236;79
02.09.19;;Phaeocystis sp.;1;2;;;;1;;1;;;5;250;0,625;490,874;10;393;132
02.09.19;;;;;;;;;;;;;;;;;;;
